Latitude,Longitude,Time,prec
36.15000153,103.3500061,2018/1/1 10:30,0
36.15000153,103.3500061,2018/1/2 10:30,0
36.15000153,103.3500061,2018/1/3 10:30,0
36.15000153,103.3500061,2018/1/4 10:30,0
36.15000153,103.3500061,2018/1/5 10:30,0.005001068
36.15000153,103.3500061,2018/1/6 10:30,0.0225029
36.15000153,103.3500061,2018/1/7 10:30,0.030002594
36.15000153,103.3500061,2018/1/8 10:30,0
36.15000153,103.3500061,2018/1/9 10:30,0
36.15000153,103.3500061,2018/1/10 10:30,0
36.15000153,103.3500061,2018/1/11 10:30,0
36.15000153,103.3500061,2018/1/12 10:30,0
36.15000153,103.3500061,2018/1/13 10:30,0
36.15000153,103.3500061,2018/1/14 10:30,0
36.15000153,103.3500061,2018/1/15 10:30,0
36.15000153,103.3500061,2018/1/16 10:30,0.002502441
36.15000153,103.3500061,2018/1/17 10:30,0.030002594
36.15000153,103.3500061,2018/1/18 10:30,0.012500763
36.15000153,103.3500061,2018/1/19 10:30,0
36.15000153,103.3500061,2018/1/20 10:30,0
36.15000153,103.3500061,2018/1/21 10:30,0
36.15000153,103.3500061,2018/1/22 10:30,0
36.15000153,103.3500061,2018/1/23 10:30,0
36.15000153,103.3500061,2018/1/24 10:30,0
36.15000153,103.3500061,2018/1/25 10:30,0
36.15000153,103.3500061,2018/1/26 10:30,0.002502441
36.15000153,103.3500061,2018/1/27 10:30,0.012500763
36.15000153,103.3500061,2018/1/28 10:30,0.002502441
36.15000153,103.3500061,2018/1/29 10:30,0
36.15000153,103.3500061,2018/1/30 10:30,0
36.15000153,103.3500061,2018/1/31 10:30,0
36.15000153,103.3500061,2018/2/1 10:30,0.002502441
36.15000153,103.3500061,2018/2/2 10:30,0
36.15000153,103.3500061,2018/2/3 10:30,0
36.15000153,103.3500061,2018/2/4 10:30,0
36.15000153,103.3500061,2018/2/5 10:30,0
36.15000153,103.3500061,2018/2/6 10:30,0
36.15000153,103.3500061,2018/2/7 10:30,0
36.15000153,103.3500061,2018/2/8 10:30,0
36.15000153,103.3500061,2018/2/9 10:30,0
36.15000153,103.3500061,2018/2/10 10:30,0
36.15000153,103.3500061,2018/2/11 10:30,0
36.15000153,103.3500061,2018/2/12 10:30,0
36.15000153,103.3500061,2018/2/13 10:30,0.1475029
36.15000153,103.3500061,2018/2/14 10:30,0
36.15000153,103.3500061,2018/2/15 10:30,0
36.15000153,103.3500061,2018/2/16 10:30,0.012500763
36.15000153,103.3500061,2018/2/17 10:30,0.007499695
36.15000153,103.3500061,2018/2/18 10:30,0.002502441
36.15000153,103.3500061,2018/2/19 10:30,0.017501831
36.15000153,103.3500061,2018/2/20 10:30,0.03750229
36.15000153,103.3500061,2018/2/21 10:30,0.0625
36.15000153,103.3500061,2018/2/22 10:30,0
36.15000153,103.3500061,2018/2/23 10:30,0
36.15000153,103.3500061,2018/2/24 10:30,0
36.15000153,103.3500061,2018/2/25 10:30,0
36.15000153,103.3500061,2018/2/26 10:30,0
36.15000153,103.3500061,2018/2/27 10:30,0
36.15000153,103.3500061,2018/2/28 10:30,0
36.15000153,103.3500061,2018/3/1 10:30,0.002502441
36.15000153,103.3500061,2018/3/2 10:30,0
36.15000153,103.3500061,2018/3/3 10:30,0.042499542
36.15000153,103.3500061,2018/3/4 10:30,0.007499695
36.15000153,103.3500061,2018/3/5 10:30,0
36.15000153,103.3500061,2018/3/6 10:30,0
36.15000153,103.3500061,2018/3/7 10:30,0
36.15000153,103.3500061,2018/3/8 10:30,0
36.15000153,103.3500061,2018/3/9 10:30,0
36.15000153,103.3500061,2018/3/10 10:30,0
36.15000153,103.3500061,2018/3/11 10:30,0.005001068
36.15000153,103.3500061,2018/3/12 10:30,0.005001068
36.15000153,103.3500061,2018/3/13 10:30,0
36.15000153,103.3500061,2018/3/14 10:30,0
36.15000153,103.3500061,2018/3/15 10:30,0
36.15000153,103.3500061,2018/3/16 10:30,0.005001068
36.15000153,103.3500061,2018/3/17 10:30,0.010002136
36.15000153,103.3500061,2018/3/18 10:30,0.010002136
36.15000153,103.3500061,2018/3/19 10:30,0.010002136
36.15000153,103.3500061,2018/3/20 10:30,0.017501831
36.15000153,103.3500061,2018/3/21 10:30,0
36.15000153,103.3500061,2018/3/22 10:30,0.002502441
36.15000153,103.3500061,2018/3/23 10:30,0.012500763
36.15000153,103.3500061,2018/3/24 10:30,0.005001068
36.15000153,103.3500061,2018/3/25 10:30,0.01499939
36.15000153,103.3500061,2018/3/26 10:30,0.002502441
36.15000153,103.3500061,2018/3/27 10:30,0
36.15000153,103.3500061,2018/3/28 10:30,0
36.15000153,103.3500061,2018/3/29 10:30,0
36.15000153,103.3500061,2018/3/30 10:30,0
36.15000153,103.3500061,2018/3/31 10:30,0
36.15000153,103.3500061,2018/4/1 10:30,0
36.15000153,103.3500061,2018/4/2 10:30,0
36.15000153,103.3500061,2018/4/3 10:30,0
36.15000153,103.3500061,2018/4/4 10:30,0.027500153
36.15000153,103.3500061,2018/4/5 10:30,0
36.15000153,103.3500061,2018/4/6 10:30,0.005001068
36.15000153,103.3500061,2018/4/7 10:30,0
36.15000153,103.3500061,2018/4/8 10:30,0.01499939
36.15000153,103.3500061,2018/4/9 10:30,0.010002136
36.15000153,103.3500061,2018/4/10 10:30,0.002502441
36.15000153,103.3500061,2018/4/11 10:30,0.06750107
36.15000153,103.3500061,2018/4/12 10:30,0.44750214
36.15000153,103.3500061,2018/4/13 10:30,0.15750122
36.15000153,103.3500061,2018/4/14 10:30,0
36.15000153,103.3500061,2018/4/15 10:30,0
36.15000153,103.3500061,2018/4/16 10:30,0
36.15000153,103.3500061,2018/4/17 10:30,0
36.15000153,103.3500061,2018/4/18 10:30,0
36.15000153,103.3500061,2018/4/19 10:30,0.092502594
36.15000153,103.3500061,2018/4/20 10:30,0.30250168
36.15000153,103.3500061,2018/4/21 10:30,0.08000183
36.15000153,103.3500061,2018/4/22 10:30,0.010002136
36.15000153,103.3500061,2018/4/23 10:30,0.18500137
36.15000153,103.3500061,2018/4/24 10:30,0.045001984
36.15000153,103.3500061,2018/4/25 10:30,0.057502747
36.15000153,103.3500061,2018/4/26 10:30,0.005001068
36.15000153,103.3500061,2018/4/27 10:30,0.002502441
36.15000153,103.3500061,2018/4/28 10:30,0
36.15000153,103.3500061,2018/4/29 10:30,0.3199997
36.15000153,103.3500061,2018/4/30 10:30,0.017501831
36.15000153,103.3500061,2018/5/1 10:30,0.002502441
36.15000153,103.3500061,2018/5/2 10:30,0.002502441
36.15000153,103.3500061,2018/5/3 10:30,0.010002136
36.15000153,103.3500061,2018/5/4 10:30,0.04750061
36.15000153,103.3500061,2018/5/5 10:30,0.025001526
36.15000153,103.3500061,2018/5/6 10:30,0
36.15000153,103.3500061,2018/5/7 10:30,0.087501526
36.15000153,103.3500061,2018/5/8 10:30,0.0225029
36.15000153,103.3500061,2018/5/9 10:30,0.16250229
36.15000153,103.3500061,2018/5/10 10:30,0.1475029
36.15000153,103.3500061,2018/5/11 10:30,0
36.15000153,103.3500061,2018/5/12 10:30,0
36.15000153,103.3500061,2018/5/13 10:30,0
36.15000153,103.3500061,2018/5/14 10:30,0
36.15000153,103.3500061,2018/5/15 10:30,0
36.15000153,103.3500061,2018/5/16 10:30,0
36.15000153,103.3500061,2018/5/17 10:30,0
36.15000153,103.3500061,2018/5/18 10:30,0.36500168
36.15000153,103.3500061,2018/5/19 10:30,0.15000153
36.15000153,103.3500061,2018/5/20 10:30,0.045001984
36.15000153,103.3500061,2018/5/21 10:30,0.10499954
36.15000153,103.3500061,2018/5/22 10:30,0
36.15000153,103.3500061,2018/5/23 10:30,0.045001984
36.15000153,103.3500061,2018/5/24 10:30,0.08250046
36.15000153,103.3500061,2018/5/25 10:30,0.002502441
36.15000153,103.3500061,2018/5/26 10:30,0.042499542
36.15000153,103.3500061,2018/5/27 10:30,0
36.15000153,103.3500061,2018/5/28 10:30,0
36.15000153,103.3500061,2018/5/29 10:30,0.002502441
36.15000153,103.3500061,2018/5/30 10:30,0
36.15000153,103.3500061,2018/5/31 10:30,0.002502441
36.15000153,103.3500061,2018/6/1 10:30,0.010002136
36.15000153,103.3500061,2018/6/2 10:30,0.002502441
36.15000153,103.3500061,2018/6/3 10:30,0.117500305
36.15000153,103.3500061,2018/6/4 10:30,0.002502441
36.15000153,103.3500061,2018/6/5 10:30,0.005001068
36.15000153,103.3500061,2018/6/6 10:30,0.1550026
36.15000153,103.3500061,2018/6/7 10:30,0.26000214
36.15000153,103.3500061,2018/6/8 10:30,0.027500153
36.15000153,103.3500061,2018/6/9 10:30,0.002502441
36.15000153,103.3500061,2018/6/10 10:30,0.08250046
36.15000153,103.3500061,2018/6/11 10:30,0
36.15000153,103.3500061,2018/6/12 10:30,0.01499939
36.15000153,103.3500061,2018/6/13 10:30,0
36.15000153,103.3500061,2018/6/14 10:30,0
36.15000153,103.3500061,2018/6/15 10:30,0.060001373
36.15000153,103.3500061,2018/6/16 10:30,0.002502441
36.15000153,103.3500061,2018/6/17 10:30,0.1875
36.15000153,103.3500061,2018/6/18 10:30,0.01499939
36.15000153,103.3500061,2018/6/19 10:30,0.0225029
36.15000153,103.3500061,2018/6/20 10:30,0.01499939
36.15000153,103.3500061,2018/6/21 10:30,0.034999847
36.15000153,103.3500061,2018/6/22 10:30,0.005001068
36.15000153,103.3500061,2018/6/23 10:30,0.034999847
36.15000153,103.3500061,2018/6/24 10:30,0.14250183
36.15000153,103.3500061,2018/6/25 10:30,0.002502441
36.15000153,103.3500061,2018/6/26 10:30,0.045001984
36.15000153,103.3500061,2018/6/27 10:30,0.012500763
36.15000153,103.3500061,2018/6/28 10:30,0.01499939
36.15000153,103.3500061,2018/6/29 10:30,0.005001068
36.15000153,103.3500061,2018/6/30 10:30,0.030002594
36.15000153,103.3500061,2018/7/1 10:30,0.6175003
36.15000153,103.3500061,2018/7/2 10:30,0.11500168
36.15000153,103.3500061,2018/7/3 10:30,0.057502747
36.15000153,103.3500061,2018/7/4 10:30,0
36.15000153,103.3500061,2018/7/5 10:30,0
36.15000153,103.3500061,2018/7/6 10:30,0
36.15000153,103.3500061,2018/7/7 10:30,0.10000229
36.15000153,103.3500061,2018/7/8 10:30,0.125
36.15000153,103.3500061,2018/7/9 10:30,0.007499695
36.15000153,103.3500061,2018/7/10 10:30,0.3274994
36.15000153,103.3500061,2018/7/11 10:30,0
36.15000153,103.3500061,2018/7/12 10:30,0
36.15000153,103.3500061,2018/7/13 10:30,0
36.15000153,103.3500061,2018/7/14 10:30,0.034999847
36.15000153,103.3500061,2018/7/15 10:30,0.055000305
36.15000153,103.3500061,2018/7/16 10:30,0.117500305
36.15000153,103.3500061,2018/7/17 10:30,0
36.15000153,103.3500061,2018/7/18 10:30,0.29000092
36.15000153,103.3500061,2018/7/19 10:30,0.27500153
36.15000153,103.3500061,2018/7/20 10:30,0.38500214
36.15000153,103.3500061,2018/7/21 10:30,0
36.15000153,103.3500061,2018/7/22 10:30,1.8975029
36.15000153,103.3500061,2018/7/23 10:30,0.64500046
36.15000153,103.3500061,2018/7/24 10:30,0.010002136
36.15000153,103.3500061,2018/7/25 10:30,0
36.15000153,103.3500061,2018/7/26 10:30,0
36.15000153,103.3500061,2018/7/27 10:30,0
36.15000153,103.3500061,2018/7/28 10:30,0
36.15000153,103.3500061,2018/7/29 10:30,0
36.15000153,103.3500061,2018/7/30 10:30,0.010002136
36.15000153,103.3500061,2018/7/31 10:30,0.1550026
36.15000153,103.3500061,2018/8/1 10:30,0.32250214
36.15000153,103.3500061,2018/8/2 10:30,1.2250023
36.15000153,103.3500061,2018/8/3 10:30,0.48749924
36.15000153,103.3500061,2018/8/4 10:30,0.055000305
36.15000153,103.3500061,2018/8/5 10:30,0.03750229
36.15000153,103.3500061,2018/8/6 10:30,0.20249939
36.15000153,103.3500061,2018/8/7 10:30,0.31000137
36.15000153,103.3500061,2018/8/8 10:30,0.29000092
36.15000153,103.3500061,2018/8/9 10:30,0.3600006
36.15000153,103.3500061,2018/8/10 10:30,0.057502747
36.15000153,103.3500061,2018/8/11 10:30,0.23500061
36.15000153,103.3500061,2018/8/12 10:30,0.20750046
36.15000153,103.3500061,2018/8/13 10:30,0.017501831
36.15000153,103.3500061,2018/8/14 10:30,0.22000122
36.15000153,103.3500061,2018/8/15 10:30,0.3675003
36.15000153,103.3500061,2018/8/16 10:30,0.22000122
36.15000153,103.3500061,2018/8/17 10:30,0.017501831
36.15000153,103.3500061,2018/8/18 10:30,0.002502441
36.15000153,103.3500061,2018/8/19 10:30,0.002502441
36.15000153,103.3500061,2018/8/20 10:30,0.9225006
36.15000153,103.3500061,2018/8/21 10:30,0.62750244
36.15000153,103.3500061,2018/8/22 10:30,0
36.15000153,103.3500061,2018/8/23 10:30,0
36.15000153,103.3500061,2018/8/24 10:30,0.5950012
36.15000153,103.3500061,2018/8/25 10:30,0.002502441
36.15000153,103.3500061,2018/8/26 10:30,1.1850014
36.15000153,103.3500061,2018/8/27 10:30,0.020000458
36.15000153,103.3500061,2018/8/28 10:30,0.060001373
36.15000153,103.3500061,2018/8/29 10:30,0.025001526
36.15000153,103.3500061,2018/8/30 10:30,0.47000122
36.15000153,103.3500061,2018/8/31 10:30,0.13000107
36.15000153,103.3500061,2018/9/1 10:30,1.7750015
36.15000153,103.3500061,2018/9/2 10:30,0.030002594
36.15000153,103.3500061,2018/9/3 10:30,0.002502441
36.15000153,103.3500061,2018/9/4 10:30,0.22999954
36.15000153,103.3500061,2018/9/5 10:30,0.002502441
36.15000153,103.3500061,2018/9/6 10:30,0.007499695
36.15000153,103.3500061,2018/9/7 10:30,0
36.15000153,103.3500061,2018/9/8 10:30,0.002502441
36.15000153,103.3500061,2018/9/9 10:30,0
36.15000153,103.3500061,2018/9/10 10:30,0
36.15000153,103.3500061,2018/9/11 10:30,0.042499542
36.15000153,103.3500061,2018/9/12 10:30,0.23500061
36.15000153,103.3500061,2018/9/13 10:30,0.17750168
36.15000153,103.3500061,2018/9/14 10:30,0.44250107
36.15000153,103.3500061,2018/9/15 10:30,0.2175026
36.15000153,103.3500061,2018/9/16 10:30,0.01499939
36.15000153,103.3500061,2018/9/17 10:30,0.63750076
36.15000153,103.3500061,2018/9/18 10:30,0.31750107
36.15000153,103.3500061,2018/9/19 10:30,0.07500076
36.15000153,103.3500061,2018/9/20 10:30,0
36.15000153,103.3500061,2018/9/21 10:30,0
36.15000153,103.3500061,2018/9/22 10:30,0
36.15000153,103.3500061,2018/9/23 10:30,0
36.15000153,103.3500061,2018/9/24 10:30,0.17750168
36.15000153,103.3500061,2018/9/25 10:30,0.72999954
36.15000153,103.3500061,2018/9/26 10:30,0.030002594
36.15000153,103.3500061,2018/9/27 10:30,0.034999847
36.15000153,103.3500061,2018/9/28 10:30,0
36.15000153,103.3500061,2018/9/29 10:30,0
36.15000153,103.3500061,2018/9/30 10:30,0
36.15000153,103.3500061,2018/10/1 10:30,0
36.15000153,103.3500061,2018/10/2 10:30,0
36.15000153,103.3500061,2018/10/3 10:30,0.002502441
36.15000153,103.3500061,2018/10/4 10:30,0
36.15000153,103.3500061,2018/10/5 10:30,0
36.15000153,103.3500061,2018/10/6 10:30,0
36.15000153,103.3500061,2018/10/7 10:30,0
36.15000153,103.3500061,2018/10/8 10:30,0.087501526
36.15000153,103.3500061,2018/10/9 10:30,0.002502441
36.15000153,103.3500061,2018/10/10 10:30,0.045001984
36.15000153,103.3500061,2018/10/11 10:30,0
36.15000153,103.3500061,2018/10/12 10:30,0.020000458
36.15000153,103.3500061,2018/10/13 10:30,0.005001068
36.15000153,103.3500061,2018/10/14 10:30,0
36.15000153,103.3500061,2018/10/15 10:30,0
36.15000153,103.3500061,2018/10/16 10:30,0.017501831
36.15000153,103.3500061,2018/10/17 10:30,0.002502441
36.15000153,103.3500061,2018/10/18 10:30,0.06500244
36.15000153,103.3500061,2018/10/19 10:30,0.025001526
36.15000153,103.3500061,2018/10/20 10:30,0.045001984
36.15000153,103.3500061,2018/10/21 10:30,0
36.15000153,103.3500061,2018/10/22 10:30,0
36.15000153,103.3500061,2018/10/23 10:30,0
36.15000153,103.3500061,2018/10/24 10:30,0.01499939
36.15000153,103.3500061,2018/10/25 10:30,0
36.15000153,103.3500061,2018/10/26 10:30,0
36.15000153,103.3500061,2018/10/27 10:30,0.040000916
36.15000153,103.3500061,2018/10/28 10:30,0.002502441
36.15000153,103.3500061,2018/10/29 10:30,0.005001068
36.15000153,103.3500061,2018/10/30 10:30,0
36.15000153,103.3500061,2018/10/31 10:30,0.005001068
36.15000153,103.3500061,2018/11/1 10:30,0
36.15000153,103.3500061,2018/11/2 10:30,0
36.15000153,103.3500061,2018/11/3 10:30,0.46250153
36.15000153,103.3500061,2018/11/4 10:30,0.30750275
36.15000153,103.3500061,2018/11/5 10:30,0.22750092
36.15000153,103.3500061,2018/11/6 10:30,0.08000183
36.15000153,103.3500061,2018/11/7 10:30,0
36.15000153,103.3500061,2018/11/8 10:30,0.002502441
36.15000153,103.3500061,2018/11/9 10:30,0.125
36.15000153,103.3500061,2018/11/10 10:30,0
36.15000153,103.3500061,2018/11/11 10:30,0
36.15000153,103.3500061,2018/11/12 10:30,0
36.15000153,103.3500061,2018/11/13 10:30,0.08000183
36.15000153,103.3500061,2018/11/14 10:30,0.25500107
36.15000153,103.3500061,2018/11/15 10:30,0.09000015
36.15000153,103.3500061,2018/11/16 10:30,0.10499954
36.15000153,103.3500061,2018/11/17 10:30,0.22999954
36.15000153,103.3500061,2018/11/18 10:30,0
36.15000153,103.3500061,2018/11/19 10:30,0.002502441
36.15000153,103.3500061,2018/11/20 10:30,0
36.15000153,103.3500061,2018/11/21 10:30,0
36.15000153,103.3500061,2018/11/22 10:30,0
36.15000153,103.3500061,2018/11/23 10:30,0
36.15000153,103.3500061,2018/11/24 10:30,0
36.15000153,103.3500061,2018/11/25 10:30,0
36.15000153,103.3500061,2018/11/26 10:30,0
36.15000153,103.3500061,2018/11/27 10:30,0
36.15000153,103.3500061,2018/11/28 10:30,0
36.15000153,103.3500061,2018/11/29 10:30,0.017501831
36.15000153,103.3500061,2018/11/30 10:30,0
36.15000153,103.3500061,2018/12/1 10:30,0
36.15000153,103.3500061,2018/12/2 10:30,0.002502441
36.15000153,103.3500061,2018/12/3 10:30,0
36.15000153,103.3500061,2018/12/4 10:30,0
36.15000153,103.3500061,2018/12/5 10:30,0
36.15000153,103.3500061,2018/12/6 10:30,0.012500763
36.15000153,103.3500061,2018/12/7 10:30,0
36.15000153,103.3500061,2018/12/8 10:30,0
36.15000153,103.3500061,2018/12/9 10:30,0
36.15000153,103.3500061,2018/12/10 10:30,0
36.15000153,103.3500061,2018/12/11 10:30,0
36.15000153,103.3500061,2018/12/12 10:30,0
36.15000153,103.3500061,2018/12/13 10:30,0
36.15000153,103.3500061,2018/12/14 10:30,0
36.15000153,103.3500061,2018/12/15 10:30,0
36.15000153,103.3500061,2018/12/16 10:30,0
36.15000153,103.3500061,2018/12/17 10:30,0
36.15000153,103.3500061,2018/12/18 10:30,0
36.15000153,103.3500061,2018/12/19 10:30,0
36.15000153,103.3500061,2018/12/20 10:30,0.012500763
36.15000153,103.3500061,2018/12/21 10:30,0
36.15000153,103.3500061,2018/12/22 10:30,0
36.15000153,103.3500061,2018/12/23 10:30,0
36.15000153,103.3500061,2018/12/24 10:30,0
36.15000153,103.3500061,2018/12/25 10:30,0
36.15000153,103.3500061,2018/12/26 10:30,0
36.15000153,103.3500061,2018/12/27 10:30,0.020000458
36.15000153,103.3500061,2018/12/28 10:30,0.0625
36.15000153,103.3500061,2018/12/29 10:30,0
36.15000153,103.3500061,2018/12/30 10:30,0
36.15000153,103.3500061,2018/12/31 10:30,0
